"","Themes","Tables.Within.Themes","Column.Names","Description.of.Field","Table.Name","total_col"
"1","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE0M","Age 0 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"2","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE1M","Age 1 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"3","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE2M","Age 2 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"4","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE3M","Age 3 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"5","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE4M","Age 4 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"6","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE5M","Age 5 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"7","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE6M","Age 6 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"8","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE7M","Age 7 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"9","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE8M","Age 8 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"10","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE9M","Age 9 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"11","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE10M","Age 10 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"12","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE11M","Age 11 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"13","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE12M","Age 12 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"14","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE13M","Age 13 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"15","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE14M","Age 14 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"16","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE15M","Age 15 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"17","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE16M","Age 16 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"18","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE17M","Age 17 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"19","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE18M","Age 18 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"20","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE19M","Age 19 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"21","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE20_24M","Age 20 - 24 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"22","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE25_29M","Age 25 - 29 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"23","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE30_34M","Age 30 - 34 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
"24","Theme 1 Sex, Age and Marital Status","Table 1 ","T1_1AGE35_39M","Age 35 - 39 - Males","Population aged 0 - 19 by sex and year of age, persons aged 20 years and over by sex and age group",FALSE
